iter	Passed	Remaining
0	186	53996
1	225	32529
2	252	24154
3	290	20737
4	328	18701
5	365	17314
6	397	16057
7	428	15098
8	462	14437
9	496	13898
10	530	13457
11	563	13058
12	596	12719
13	627	12367
14	658	12070
15	691	11834
16	721	11592
17	752	11365
18	782	11159
19	812	10963
20	840	10769
21	870	10607
22	902	10473
23	931	10325
24	962	10201
25	995	10103
26	1024	9983
27	1055	9873
28	1086	9777
29	1116	9676
30	1147	9586
31	1179	9512
32	1208	9413
33	1236	9311
34	1265	9217
35	1294	9133
36	1325	9060
37	1353	8979
38	1384	8910
39	1419	8869
40	1451	8812
41	1483	8761
42	1514	8701
43	1542	8622
44	1571	8554
45	1598	8477
46	1630	8429
47	1661	8376
48	1690	8316
49	1719	8251
50	1750	8203
51	1782	8159
52	1810	8097
53	1838	8035
54	1867	7978
55	1899	7939
56	1926	7875
57	1955	7822
58	1984	7771
59	2012	7714
60	2040	7658
61	2067	7604
62	2097	7558
63	2125	7504
64	2152	7451
65	2182	7408
66	2210	7357
67	2238	7307
68	2266	7260
69	2296	7219
70	2326	7176
71	2354	7129
72	2383	7084
73	2412	7041
74	2440	6995
75	2468	6949
76	2498	6910
77	2526	6866
78	2554	6823
79	2584	6783
80	2612	6739
81	2640	6699
82	2669	6657
83	2698	6617
84	2724	6571
85	2752	6530
86	2780	6488
87	2810	6450
88	2838	6410
89	2868	6374
90	2899	6340
91	2928	6303
92	2956	6262
93	2986	6226
94	3013	6185
95	3040	6144
96	3068	6105
97	3098	6070
98	3127	6034
99	3155	5996
100	3185	5960
101	3213	5922
102	3241	5884
103	3269	5847
104	3299	5812
105	3329	5778
106	3357	5741
107	3385	5704
108	3414	5669
109	3441	5632
110	3469	5595
111	3498	5559
112	3525	5522
113	3553	5486
114	3582	5451
115	3611	5417
116	3639	5380
117	3666	5344
118	3693	5308
119	3721	5271
120	3748	5235
121	3774	5198
122	3803	5164
123	3830	5128
124	3858	5093
125	3890	5064
126	3918	5028
127	3945	4993
128	3973	4959
129	4001	4925
130	4029	4890
131	4056	4855
132	4083	4820
133	4111	4786
134	4139	4752
135	4167	4719
136	4196	4686
137	4223	4652
138	4251	4618
139	4278	4584
140	4307	4551
141	4334	4517
142	4362	4484
143	4390	4451
144	4419	4419
145	4446	4385
146	4474	4352
147	4502	4320
148	4530	4287
149	4558	4254
150	4586	4221
151	4613	4188
152	4641	4155
153	4669	4123
154	4697	4091
155	4725	4059
156	4753	4027
157	4781	3994
158	4811	3964
159	4839	3932
160	4870	3902
161	4898	3870
162	4926	3838
163	4954	3806
164	4982	3774
165	5010	3742
166	5039	3711
167	5066	3679
168	5096	3648
169	5124	3617
170	5152	3585
171	5181	3554
172	5209	3523
173	5237	3491
174	5265	3459
175	5294	3429
176	5322	3397
177	5350	3366
178	5378	3334
179	5406	3304
180	5434	3272
181	5463	3241
182	5490	3210
183	5519	3179
184	5548	3149
185	5576	3118
186	5605	3087
187	5632	3056
188	5660	3024
189	5688	2993
190	5717	2963
191	5745	2932
192	5773	2901
193	5802	2871
194	5830	2840
195	5860	2810
196	5888	2779
197	5916	2749
198	5944	2718
199	5972	2687
200	6000	2656
201	6028	2626
202	6056	2595
203	6084	2565
204	6112	2534
205	6140	2503
206	6167	2473
207	6196	2442
208	6223	2412
209	6252	2381
210	6280	2351
211	6308	2321
212	6336	2290
213	6363	2259
214	6391	2229
215	6419	2199
216	6447	2168
217	6475	2138
218	6504	2108
219	6531	2078
220	6558	2047
221	6586	2017
222	6614	1987
223	6641	1956
224	6670	1926
225	6697	1896
226	6726	1866
227	6754	1836
228	6781	1806
229	6810	1776
230	6840	1747
231	6869	1717
232	6897	1687
233	6927	1657
234	6957	1628
235	6984	1598
236	7015	1568
237	7043	1538
238	7071	1509
239	7100	1479
240	7128	1449
241	7156	1419
242	7184	1389
243	7213	1359
244	7241	1330
245	7269	1300
246	7297	1270
247	7326	1240
248	7353	1210
249	7381	1181
250	7408	1151
251	7437	1121
252	7464	1091
253	7492	1061
254	7520	1032
255	7547	1002
256	7576	972
257	7604	943
258	7632	913
259	7661	884
260	7689	854
261	7718	824
262	7746	795
263	7774	765
264	7802	736
265	7830	706
266	7860	677
267	7888	647
268	7917	618
269	7945	588
270	7973	559
271	8001	529
272	8029	499
273	8057	470
274	8084	440
275	8114	411
276	8141	382
277	8169	352
278	8197	323
279	8226	293
280	8254	264
281	8284	235
282	8314	205
283	8340	176
284	8368	146
285	8395	117
286	8423	88
287	8450	58
288	8477	29
289	8504	0
